,GNOMES observation,,,,,,,,,,,,,,,,,,,,,
#,Name,sname,nvss,src_cld,Cloud,V0plt,V0b,V1b,V1plt,glong,glat,ra50 (h),dec50 (o),RAJ2000,DEJ2000,S1.4 mJy,tsky_chipass,tsky_haslam,OK?,Notes,,
28,SRC15,4C +04.22,062152+043834,SRC15_R,R,-100,-80,75,82,205.41148,-4.4261,6.32048,4.66779,06:21:52.90,04:38:34.50,1056.8,4.3490205078125,3.91424436079932,1,,,
29,SRC15,-,-,SRC15_T,T,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,-1,No observation,,
30,SRC16,4C +14.20,064841+144020,SRC16_R,R,-100,-90,70,80,199.51658,6.03664,6.76398,14.72946,06:48:41.15,14:40:20.60,1032,4.16883203125,3.70741917385979,1,,,
31,SRC16,PKS 0526+249,052910+250051,SRC16_T,T,-100,-90,70,80,181.35515,-5.1933,5.43489,24.97526,05:29:10.17,25:00:51.60,1134.6,0,0,-1,Only 1 scan. Emission features in Absorption spectrum. Shape of Absorption spectrum is similar to Emission. This sightline will be excluded.,,
32,SRC17,4C +19.18,055955+190852,SRC17_R,R,-100,-80,60,80,190.08935,-2.16646,5.94967,19.14611,05:59:55.70,19:08:52.50,1028.6,4.44680517578125,4.15756800093925,1,Tau < 0? -> A bit. I think it is fine,,
33,SRC17,3C 114,042022+175355,SRC17_T,T,-100,-80,60,80,177.29593,-22.24418,4.29139,17.77969,04:20:22.17,17:53:55.20,1105.6,4.22722607421875,3.77433319810342,1,Only Absorption spectrum is not good? 1 emission feature in a component at vlsr=25km/s. But a peak in Emission spectrum also at Vlsr=25km/s. This would probably be ok. But still do not know how to deal with it.,,
34,SRC18,4C +09.27,071028+091954,SRC18_R,R,-100,-80,79,83,206.7233,8.4421,7.12898,9.41447,07:10:28.52,09:19:54.30,1020.4,4.08978637695313,3.55230039968089,1,,,
35,SRC18,4C +09.21,053450+100430,SRC18_T,T,-100,-90,70,80,194.89059,-11.98447,5.53481,10.04305,05:34:50.82,10:04:30.30,1060.4,4.622609375,3.93249358739952,1,,,
36,SRC19,4C +01.19,062812+010926,SRC19_R,R,-100,-80,78,83,209.24483,-4.63557,6.42709,1.18974,06:28:12.55,01:09:26.00,938.6,4.267466796875,3.84428872143849,1,,,
37,SRC19,4C +29.16,050929+295755,SRC19_T,T,-100,-70,35,80,174.7718,-5.97028,5.10509,29.90275,05:09:29.51,29:57:55.80,1057.7,4.02827124023438,3.96899215662566,1,,,
38,SRC20,4C +10.21,065548+104258,SRC20_R,R,-100,-80,75,80,203.85464,5.82316,6.88398,10.78197,06:55:48.36,10:42:58.80,910.1,4.149158203125,3.68916994725959,1,Emission feature in Absorption spectrum? I think it is fine.,,
39,SRC20,4C +18.11,035633+190034,SRC20_T,T,-100,-90,60,80,172.22662,-25.66004,3.89448,18.86523,03:56:33.46,19:00:34.60,1051.3,4.1509873046875,3.61313130971587,1,,,
40,SRC21,-,065917+081331,SRC21_R,R,-100,-80,76,83,206.48032,5.47695,6.943,8.29502,06:59:17.97,08:13:31.80,908.3,4.1239072265625,3.67700377685517,1,Emission feature in Absorption spectrum? I think it is fine.,,
41,SRC21,4C +36.10,053752+361112,SRC21_T,T,-100,-80,60,80,172.97874,2.44145,5.57503,36.15804,05:37:52.39,36:11:12.90,1042.3,4.33899658203125,4.16669261423934,1,Tau < 0? -> A bit. I think it is fine.,,
42,SRC22,-,062019+210229,SRC22_R,R,-100,-80,70,80,190.74447,2.94095,6.28895,21.06445,06:20:19.54,21:02:29.70,897.5,4.3335009765625,3.95986754332556,1,Emission feature in Absorption spectrum? I think it is fine.,,
43,SRC22,B0531+2730,053425+273223,SRC22_T,T,-100,-80,60,80,179.87431,-2.82974,5.5215,27.50721,05:34:25.73,27:32:23.90,1042,4.25493505859375,4.21231579676558,1,,,
44,SRC23,-,063451+190940,SRC23_R,R,-100,-80,70,80,193.9942,5.10006,6.53184,19.20168,06:34:51.38,19:09:40.90,839.8,4.31469921875,3.69829456055969,1,Emission feature in Absorption spectrum? I think it is fine.,,
45,SRC23,4C +17.23,041140+171405,SRC23_T,T,-100,-80,60,80,176.36084,-24.24235,4.14687,17.10635,04:11:40.77,17:14:05.10,1034.1,4.26327001953125,3.69829456055969,1,,,
46,SRC24,-,061622+115553,SRC24_R,R,-100,-80,70,80,198.32553,-2.20273,6.22625,11.94973,06:16:22.32,11:55:53.90,830.7,4.40749853515625,4.05415540746948,1,"Tau < 0? -> A bit. I think it is fine. No, cant do",,
47,SRC24,4C +07.13,034053+073525,SRC24_T,T,-100,-80,60,80,178.87378,-36.27019,3.6369,7.43024,03:40:53.73,07:35:25.40,1014,4.06935034179688,3.40934773789353,1,,,
48,SRC25,PKS 0719+056,072140+053050,SRC25_R,R,-100,-80,79,82,211.43416,9.22888,7.31695,5.60975,07:21:40.87,05:30:50.90,828.3,4.00944384765625,3.48234481833293,1,,,
49,SRC25,4C +17.26,042756+175242,SRC25_T,T,-100,-80,60,80,178.55882,-20.87567,4.41764,17.76802,04:27:56.98,17:52:42.80,1013.1,4.2177373046875,3.72566851648573,1,,,
